date,open,high,low,close,vol
2018-05-04,53000,53900,51800,51900,39565391
2018-05-08,52600,53200,51900,52600,23104720
2018-05-09,52600,52800,50900,50900,16128305
2018-05-10,51700,51700,50600,51600,13905263
2018-05-11,52000,52200,51200,51300,10314997
2018-05-14,51000,51100,49900,50100,14909272
2018-05-15,50200,50400,49100,49200,18709146
2018-05-16,49200,50200,49150,49850,15918683
2018-05-17,50300,50500,49400,49400,10365440
2018-05-18,49900,49900,49350,49500,6706570
2018-05-21,49650,50200,49100,50000,9020998
2018-05-23,50600,52000,50400,51800,17095490
2018-05-24,52000,52000,51100,51400,8289275
2018-05-25,51000,52800,50800,52700,15207266
2018-05-28,52500,53000,52000,52300,9787820
2018-05-29,52200,52500,51300,51300,8480437
2018-05-30,51300,51500,49100,49500,20498098
2018-05-31,50400,50800,49850,50700,63491109
2018-06-01,50500,51700,49950,51300,13038499
2018-06-04,50800,51200,50700,51100,9767171
2018-06-05,51100,51400,50400,51300,9144100
2018-06-07,51800,51800,50500,50600,13590016
2018-06-08,50200,50400,49600,49650,16951706
2018-06-11,49750,50300,49350,49900,10571312
2018-06-12,49700,49800,49250,49400,12110569
2018-06-14,49000,49000,48200,48200,20971729
2018-06-15,48500,48700,47650,47650,17080892
2018-06-18,47600,47650,46200,46600,16661870
2018-06-19,47200,47350,46500,47000,15217971
2018-06-20,47450,47600,46850,47000,12959316
2018-06-21,47900,47900,47050,47050,10015541
2018-06-22,47000,47250,46200,47250,10298006
2018-06-25,47050,47050,46150,46650,10587711
2018-06-26,45900,47300,45900,47000,11223166
2018-06-27,47450,48500,47000,47950,15274752
2018-06-28,46850,47150,46600,46800,12784800
2018-06-29,46250,47150,46200,46650,14099635
2018-07-02,46500,47150,45500,45550,13112253
2018-07-03,45750,46450,45750,46150,10959655
2018-07-04,46700,47050,46050,46250,8776763
2018-07-05,46100,46550,45600,45950,7039773
2018-07-06,45500,45850,44650,44900,17843706
2018-07-09,45500,46100,45200,45600,11602464
2018-07-10,46200,46550,46100,46300,10528665
2018-07-11,46400,46450,45400,46000,11224077
2018-07-12,45900,46250,45450,45500,11828104
2018-07-13,45800,46500,45750,46500,11543389
2018-07-16,46800,46800,46000,46050,7678719
2018-07-17,46150,46200,45600,45850,8892953
2018-07-18,46700,47200,46450,46550,10952645
2018-07-19,47050,47200,46600,46900,9880128
2018-07-20,47000,47600,46700,47450,10474547
2018-07-23,47100,47200,46150,46500,10823782
2018-07-24,46350,46600,45950,46150,8261363
2018-07-25,46250,46550,45900,46150,7222471
2018-07-26,46100,47000,46000,46900,7374946
2018-07-27,46450,47000,46450,46900,4762460
2018-07-30,46550,46800,46350,46500,5723035
2018-07-31,46200,46450,46000,46250,8033607
2018-08-01,46050,46850,46050,46550,7484499
2018-08-02,46550,46800,45500,45550,8560924
2018-08-03,45850,45900,45450,45750,8274944
2018-08-06,46150,46150,45750,45800,6771979
